,pick_count,pick_rate,ban_count,ban_rate,presence_count,presence_rate
Thresh,10773,0.10578046601140972,4903,0.04814272949539978,15676,0.1539231955068095
Kaisa,14095,0.13839930088469507,1353,0.013285154600708934,15448,0.151684455485404
Yuumi,5990,0.0588160207378023,9318,0.09149376982217727,15308,0.1503097905599796
Aurora,7556,0.07419262983219269,7622,0.07484068615417849,15178,0.14903331598637118
Galio,8078,0.07931816619698949,6959,0.06833066582877566,15037,0.14764883202576515
Smolder,10935,0.10737114971082941,3938,0.03866736054515283,14873,0.14603851025598225
Malphite,5716,0.05612560509804307,8982,0.08819457400115864,14698,0.14432017909920172
Milio,9451,0.09279970150133048,5129,0.050361831446442074,14580,0.14316153294777256
Yorick,3350,0.03289376785837023,11051,0.10851015779189536,14401,0.1414039256502656
Jinx,11417,0.11210392466836208,2913,0.0286028494840097,14330,0.1407067741523718
Jhin,12837,0.12604695462623844,1214,0.011920308710466109,14051,0.13796726333670453
Hecarim,6146,0.06034779022613238,7746,0.07605824651669726,13892,0.13640603674282964
Renekton,7050,0.06922419803030154,6650,0.06529658395766032,13700,0.13452078198796186
Karma,9753,0.0957650501261746,3745,0.036772286755103446,13498,0.13253733688127806
Morgana,5104,0.050116355566902,8307,0.08156672525357658,13411,0.13168308082047858
Syndra,6994,0.06867433206013177,6347,0.062321416297634595,13341,0.13099574835776637
Poppy,5370,0.05272821892520841,7934,0.07790422513083864,13304,0.13063244405604704
Malzahar,6126,0.06015140952250032,6998,0.06871360820085819,13124,0.1288650177233585
Aphelios,9807,0.09629527802598117,3219,0.031607474249580235,13026,0.12790275227556142
Warwick,6093,0.05982738136150742,6479,0.0636175289416062,12572,0.12344491030311362
Ahri,9517,0.09344775782331628,3002,0.029476743615172375,12519,0.12292450143848865
Yone,8379,0.082273695786652,4059,0.0398554638021268,12438,0.1221291595887788
Lux,9350,0.09180797894798857,3038,0.029830228881710084,12388,0.12163820782969866
Mordekaiser,6558,0.06439323272095283,5779,0.056744204314484056,12337,0.1211374370354369
Riven,5872,0.05765737458637314,6408,0.06292037744371239,12280,0.12057775203008553
Diana,7893,0.07750164468839292,4292,0.04214329899944032,12185,0.11964494368783324
Talon,6076,0.05966045776342017,6094,0.05983720039668902,12170,0.11949765816010918
Vayne,7697,0.07557711379279872,4343,0.04264406979370207,12040,0.11822118358650079
LeeSin,8072,0.07925925198589986,3954,0.03882446510805848,12026,0.11808371709395835
Senna,7993,0.07848354820655322,3670,0.036035859116483215,11663,0.11451940732303643
Khazix,6076,0.05966045776342017,5201,0.05106880197951749,11277,0.11072925974293765
Rengar,4370,0.042909183743605354,6856,0.06731930520507055,11226,0.1102284889486759
Hwei,7355,0.07221900376069047,3814,0.03744980018263405,11169,0.10966880394332452
Bard,7940,0.07796313934192826,3215,0.03156819810885383,11155,0.10953133745078208
Sona,8725,0.08567108195948667,2380,0.023369303732215272,11105,0.10904038569170194
Viktor,6789,0.06666142984790314,3823,0.03753817149926848,10612,0.10419960134717163
Zoe,4497,0.04415620121166894,6052,0.059424800919061695,10549,0.10358100213073064
Leona,6182,0.06070127549267009,4332,0.042536060406704435,10514,0.10323733589937453
Teemo,4937,0.048476576691574284,5499,0.053994874463635205,10436,0.10247145115520949
Briar,4659,0.04574688491108864,5742,0.056380900012764745,10401,0.10212778492385338
Alistar,6762,0.06639631589799987,3419,0.033571281285900846,10181,0.0999675971839007
